"","StationName","Depth","Domain","SMP_No","FOV_No","DAPI_Nr_Set","DAPI_Nr_SubSet","Volume","conc.DAPI","conc.FISH"
"233","EG4","MESO","CREN",29,53,106,0,130,81143.4450705012,0
"234","EG4","MESO","CREN",29,54,115,2,130,88032.982859506,1531.00839755663
"235","EG4","MESO","CREN",29,55,108,2,130,82674.4534680578,1531.00839755663
"236","HG1","DCM","CREN",3,2,802,7,30,2660382.2588209,23220.2940296088
"237","HG1","DCM","CREN",3,3,755,7,30,2504474.57033638,23220.2940296088
"238","HG1","DCM","CREN",3,4,668,3,30,2215879.48739696,9951.55458411807
"239","HG1","DCM","CREN",3,5,660,2,30,2189342.00850598,6634.36972274538
"240","HG1","DCM","CREN",3,6,811,6,30,2690236.92257325,19903.1091682361
"241","HG1","DCM","CREN",3,7,387,2,30,1283750.54135123,6634.36972274538
"242","HG1","DCM","CREN",3,8,884,6,30,2932391.41745346,19903.1091682361
"243","HG1","DCM","CREN",3,9,968,1,30,3211034.94580876,3317.18486137269
"244","HG1","DCM","CREN",3,12,877,4,30,2909171.12342385,13268.7394454908
"245","HG1","DCM","CREN",3,13,829,6,30,2749946.25007796,19903.1091682361
"246","HG1","DCM","CREN",3,14,581,5,30,1927284.40445753,16585.9243068634
"247","HG1","DCM","CREN",3,15,617,2,30,2046703.05946695,6634.36972274538
"248","HG1","DCM","CREN",3,16,733,6,30,2431496.50338618,19903.1091682361
"249","HG1","DCM","CREN",3,17,232,1,30,769586.887838464,3317.18486137269
"250","HG1","DCM","CREN",3,18,935,3,30,3101567.84538347,9951.55458411807
"251","HG1","DCM","CREN",3,19,526,3,30,1744839.23708204,9951.55458411807
"252","HG1","DCM","CREN",3,20,713,4,30,2365152.80615873,13268.7394454908
"253","HG1","DCM","CREN",3,21,745,1,30,2471302.72172265,3317.18486137269
"254","HG1","DCM","CREN",3,22,946,5,30,3138056.87885856,16585.9243068634
"255","HG1","DCM","CREN",3,23,979,2,30,3247523.97928386,6634.36972274538
"256","HG1","DCM","CREN",3,24,890,5,30,2952294.52662169,16585.9243068634
"257","HG1","DCM","CREN",3,25,512,1,30,1698398.64902282,3317.18486137269
"258","HG1","DCM","CREN",3,26,982,1,30,3257475.53386798,3317.18486137269
"259","HG1","DCM","CREN",3,29,657,1,30,2179390.45392186,3317.18486137269
"260","HG1","DCM","CREN",3,30,917,5,30,3041858.51787876,16585.9243068634
"261","HG1","DCM","CREN",3,33,1054,10,30,3496312.84388682,33171.8486137269
"262","HG1","DCM","CREN",3,34,1006,8,30,3337087.97054093,26537.4788909815
"263","HG1","DCM","CREN",3,35,546,6,30,1811182.93430949,19903.1091682361
"264","HG1","DCM","CREN",3,36,958,5,30,3177863.09719504,16585.9243068634
"265","HG1","DCM","CREN",3,37,635,2,30,2106412.38697166,6634.36972274538
"266","HG1","DCM","CREN",3,39,1065,9,30,3532801.87736192,29854.6637523542
"267","HG1","DCM","CREN",3,41,798,5,30,2647113.51937541,16585.9243068634
"268","HG1","DCM","CREN",3,44,649,4,30,2152852.97503088,13268.7394454908
"269","HG1","DCM","CREN",3,46,931,3,30,3088299.10593797,9951.55458411807
"270","HG1","DCM","CREN",3,47,660,11,30,2189342.00850598,36489.0334750996
"271","HG1","DCM","CREN",3,51,924,5,30,3065078.81190837,16585.9243068634
"272","HG1","DCM","CREN",3,52,752,3,30,2494523.01575226,9951.55458411807
"273","HG1","EPI","CREN",4,1,216,14,30,716511.930056501,46440.5880592177
"274","HG1","EPI","CREN",4,2,202,14,30,670071.341997283,46440.5880592177
"275","HG1","EPI","CREN",4,3,213,12,30,706560.375472383,39806.2183364723
"276","HG1","EPI","CREN",4,4,198,12,30,656802.602551793,39806.2183364723
"277","HG1","EPI","CREN",4,5,179,16,30,593776.090185712,53074.957781963
"278","HG1","EPI","CREN",4,6,170,9,30,563921.426433357,29854.6637523542
"279","HG1","EPI","CREN",4,7,224,12,30,743049.408947483,39806.2183364723
"280","HG1","EPI","CREN",4,8,244,21,30,809393.106174936,69660.8820888265
"281","HG1","EPI","CREN",4,9,227,12,30,753000.963531601,39806.2183364723
"282","HG1","EPI","CREN",4,10,134,11,30,444502.77142394,36489.0334750996
"283","HG1","EPI","CREN",4,11,227,18,30,753000.963531601,59709.3275047084
"284","HG1","EPI","CREN",4,13,234,11,30,776221.257561209,36489.0334750996
"285","HG1","EPI","CREN",4,14,121,8,30,401379.368226096,26537.4788909815
"286","HG1","EPI","CREN",4,15,147,8,30,487626.174621785,26537.4788909815
"287","HG1","EPI","CREN",4,16,163,13,30,540701.132403748,43123.403197845
"288","HG1","EPI","CREN",4,18,241,17,30,799441.551590818,56392.1426433357
"289","HG1","EPI","CREN",4,19,190,15,30,630265.123660811,49757.7729205904
"290","HG1","EPI","CREN",4,20,208,12,30,689974.45116552,39806.2183364723
"291","HG1","EPI","CREN",4,21,166,10,30,550652.686987867,33171.8486137269
"292","HG1","EPI","CREN",4,22,164,8,30,544018.317265121,26537.4788909815
"293","HG1","EPI","CREN",4,23,121,6,30,401379.368226096,19903.1091682361
"294","HG1","EPI","CREN",4,24,207,15,30,686657.266304147,49757.7729205904
"295","HG1","EPI","CREN",4,25,221,22,30,733097.854363365,72978.0669501992
"296","HG1","EPI","CREN",4,26,251,17,30,832613.400204545,56392.1426433357
"297","HG1","EPI","CREN",4,27,256,10,30,849199.324511409,33171.8486137269
"298","HG1","EPI","CREN",4,28,171,14,30,567238.61129473,46440.5880592177
"299","HG1","EPI","CREN",4,29,142,7,30,471040.250314922,23220.2940296088
"300","HG1","EPI","CREN",4,30,148,7,30,490943.359483158,23220.2940296088
"301","HG1","EPI","CREN",4,31,213,23,30,706560.375472383,76295.2518115719
"302","HG1","EPI","CREN",4,32,173,12,30,573872.981017475,39806.2183364723
"303","HG1","EPI","CREN",4,33,214,14,30,709877.560333756,46440.5880592177
"304","HG1","EPI","CREN",4,34,219,20,30,726463.484640619,66343.6972274538
"305","HG1","EPI","CREN",4,35,182,7,30,603727.64476983,23220.2940296088
"306","HG1","EPI","CREN",4,36,171,7,30,567238.61129473,23220.2940296088
"307","HG1","EPI","CREN",4,37,183,13,30,607044.829631202,43123.403197845
"308","HG1","EPI","CREN",4,38,189,6,30,626947.938799439,19903.1091682361
"309","HG1","EPI","CREN",4,39,204,11,30,676705.711720029,36489.0334750996
"310","HG1","EPI","CREN",4,40,209,20,30,693291.636026892,66343.6972274538
"311","HG1","EPI","CREN",4,41,173,10,30,573872.981017475,33171.8486137269
"312","HG1","EPI","CREN",4,43,224,12,30,743049.408947483,39806.2183364723
"313","HG1","EPI","CREN",4,44,192,10,30,636899.493383556,33171.8486137269
"314","HG1","EPI","CREN",4,46,169,10,30,560604.241571985,33171.8486137269
"315","HG1","EPI","CREN",4,47,232,13,30,769586.887838464,43123.403197845
"316","HG1","EPI","CREN",4,48,201,8,30,666754.157135911,26537.4788909815
"317","HG1","EPI","CREN",4,49,224,12,30,743049.408947483,39806.2183364723
"318","HG1","EPI","CREN",4,50,237,9,30,786172.812145328,29854.6637523542
"319","HG1","EPI","CREN",4,51,204,11,30,676705.711720029,36489.0334750996
"320","HG1","EPI","CREN",4,52,235,13,30,779538.442422582,43123.403197845
"321","HG1","EPI","CREN",4,53,253,12,30,839247.769927291,39806.2183364723
"322","HG1","EPI","CREN",4,54,224,15,30,743049.408947483,49757.7729205904
"323","HG1","EPI","CREN",4,55,196,11,30,650168.232829047,36489.0334750996
"324","HG1","MESO","CREN",6,1,187,1,100,186094.070723008,995.155458411807
"325","HG1","MESO","CREN",6,2,117,0,100,116433.188634181,0
"326","HG1","MESO","CREN",6,3,136,5,100,135341.142344006,4975.77729205904
"327","HG1","MESO","CREN",6,4,143,0,100,142307.230552888,0
"328","HG1","MESO","CREN",6,5,163,2,100,162210.339721125,1990.31091682361
"329","HG1","MESO","CREN",6,6,147,2,100,146287.852386536,1990.31091682361
"330","HG1","MESO","CREN",6,7,146,2,100,145292.696928124,1990.31091682361
"331","HG1","MESO","CREN",6,8,100,0,100,99515.5458411807,0
"332","HG1","MESO","CREN",6,9,88,0,100,87573.680340239,0
"333","HG1","MESO","CREN",6,11,188,1,100,187089.22618142,995.155458411807
"334","HG1","MESO","CREN",6,12,138,1,100,137331.453260829,995.155458411807
"335","HG1","MESO","CREN",6,13,148,0,100,147283.007844947,0
"336","HG1","MESO","CREN",6,14,163,1,100,162210.339721125,995.155458411807
"337","HG1","MESO","CREN",6,16,144,2,100,143302.3860113,1990.31091682361
"338","HG1","MESO","CREN",6,17,144,1,100,143302.3860113,995.155458411807
"339","HG1","MESO","CREN",6,18,116,0,100,115438.03317577,0
"340","HG1","MESO","CREN",6,19,109,0,100,108471.944966887,0
"341","HG1","MESO","CREN",6,20,125,0,100,124394.432301476,0
"342","HG1","MESO","CREN",6,21,138,3,100,137331.453260829,2985.46637523542
"343","HG1","MESO","CREN",6,22,163,3,100,162210.339721125,2985.46637523542
"344","HG1","MESO","CREN",6,23,154,3,100,153253.940595418,2985.46637523542
"345","HG1","MESO","CREN",6,24,133,0,100,132355.67596877,0
"346","HG1","MESO","CREN",6,25,143,2,100,142307.230552888,1990.31091682361
"347","HG1","MESO","CREN",6,26,128,3,100,127379.898676711,2985.46637523542
"348","HG1","MESO","CREN",6,27,108,1,100,107476.789508475,995.155458411807
"349","HG1","MESO","CREN",6,28,115,0,100,114442.877717358,0
"350","HG1","MESO","CREN",6,29,144,1,100,143302.3860113,995.155458411807
"351","HG1","MESO","CREN",6,30,138,3,100,137331.453260829,2985.46637523542
"352","HG1","MESO","CREN",6,31,137,3,100,136336.297802418,2985.46637523542
"353","HG1","MESO","CREN",6,32,158,1,100,157234.562429066,995.155458411807
"354","HG1","MESO","CREN",6,33,114,1,100,113447.722258946,995.155458411807
"355","HG1","MESO","CREN",6,35,117,1,100,116433.188634181,995.155458411807
"356","HG1","MESO","CREN",6,37,128,1,100,127379.898676711,995.155458411807
"357","HG1","MESO","CREN",6,38,184,5,100,183108.604347772,4975.77729205904
